InstanceID,ClassID,PanopticID,MeshID,InfraredID,R,G,B,Name,RIOGlobalID,Size
114,16,1,0,0,255,152,150,curtain_8,129,M
115,6,1,0,0,214,39,40,sofa_2,423,M
116,7,1,0,0,197,176,213,couch table_2,119,M
117,7,1,0,0,148,103,189,table_2,455,M
118,39,1,0,0,196,156,148,bench_2,40,M
119,5,1,0,0,140,86,75,chair_4,85,M
120,5,1,0,0,247,182,210,chair_5,85,M
121,3,1,0,0,227,119,194,commode_2,110,M
122,3,1,0,0,178,76,76,cabinet_8,68,M
123,3,1,0,0,66,188,102,cabinet_9,68,M
124,3,1,0,0,51,176,203,cabinet_10,68,M
125,22,0,0,0,200,54,131,ceiling_2,82,M
126,3,1,0,0,92,193,61,showcase_2,403,M
127,15,1,0,0,78,71,183,shelf_9,391,M
128,40,1,0,0,140,153,101,printer_2,355,M
129,40,1,0,0,100,125,154,vase_2,500,M
130,40,1,0,0,191,63,78,decoration_2,137,M
131,1,0,0,0,94,106,211,wall_12,503,M
132,18,1,0,0,205,120,100,pillow_14,338,M
133,18,1,0,0,108,197,151,pillow_15,338,M
134,18,1,0,0,173,116,189,pillow_16,338,M
135,18,1,0,0,177,181,124,pillow_17,338,M
136,18,1,0,0,130,158,175,pillow_18,338,M
137,18,1,0,0,137,91,107,pillow_19,338,M
138,40,1,0,0,92,139,90,item_2,236,M
139,18,1,0,0,125,165,114,pillow_20,338,M
140,2,0,0,0,174,199,232,floor_4,188,M
141,1,0,0,0,31,119,180,wall_13,503,M
142,1,0,0,0,255,187,120,wall_14,503,M
143,7,1,0,0,255,127,14,table_3,455,M
144,5,1,0,0,152,223,138,chair_6,85,M
145,5,1,0,0,44,160,44,chair_7,85,M
146,5,1,0,0,255,152,150,chair_8,85,M
147,5,1,0,0,214,39,40,chair_9,85,M
148,40,1,0,0,196,156,148,object_0,298,M
149,2,0,0,0,174,199,232,floor_5,188,M
150,1,0,0,0,31,119,180,wall_15,503,M
151,1,0,0,0,255,187,120,wall_16,503,M
152,7,1,0,0,255,127,14,table_4,455,M
153,5,1,0,0,152,223,138,chair_10,85,M
154,5,1,0,0,44,160,44,chair_11,85,M
155,5,1,0,0,255,152,150,chair_12,85,M
156,5,1,0,0,214,39,40,chair_13,85,M
157,40,1,0,0,197,176,213,object_1,298,M
158,1,0,0,0,140,86,75,wall_17,503,M
159,2,0,0,0,174,199,232,floor_6,188,M
160,1,0,0,0,31,119,180,wall_18,503,M
161,1,0,0,0,255,187,120,wall_19,503,M
162,7,1,0,0,255,127,14,table_5,455,M
163,5,1,0,0,152,223,138,chair_14,85,M
164,5,1,0,0,44,160,44,chair_15,85,M
165,5,1,0,0,255,152,150,chair_16,85,M
166,5,1,0,0,214,39,40,chair_17,85,M
167,1,0,0,0,197,176,213,wall_20,503,M
168,40,1,0,0,196,156,148,object_2,298,M
169,2,0,0,0,174,199,232,floor_7,188,M
170,1,0,0,0,31,119,180,wall_21,503,M
171,7,1,0,0,255,127,14,table_6,455,M
172,5,1,0,0,152,223,138,chair_18,85,M
173,5,1,0,0,44,160,44,chair_19,85,M
174,5,1,0,0,255,152,150,chair_20,85,M
175,5,1,0,0,214,39,40,chair_21,85,M
176,40,1,0,0,196,156,148,object_3,298,M
177,1,0,0,0,140,86,75,wall_22,503,M
178,2,0,0,0,174,199,232,floor_8,188,M
179,1,0,0,0,31,119,180,wall_23,503,M
180,1,0,0,0,255,187,120,wall_24,503,M
181,1,0,0,0,255,127,14,wall_25,503,M
182,1,0,0,0,152,223,138,wall_26,503,M
183,1,0,0,0,44,160,44,wall_27,503,M
184,1,0,0,0,255,152,150,wall_28,503,M
185,7,1,0,0,214,39,40,table_7,455,M
186,5,1,0,0,197,176,213,chair_22,85,M
187,5,1,0,0,148,103,189,chair_23,85,M
188,5,1,0,0,196,156,148,chair_24,85,M
189,5,1,0,0,140,86,75,chair_25,85,M
190,5,1,0,0,247,182,210,chair_26,85,M
191,39,1,0,0,227,119,194,bench_3,40,M
192,40,1,0,0,219,219,141,plant_0,342,M
193,40,1,0,0,188,189,34,plant_1,342,M
194,16,1,0,0,158,218,229,curtain_9,129,M
195,9,0,0,0,178,76,76,window_0,520,M
196,5,1,0,0,66,188,102,chair_27,85,M
197,5,1,0,0,140,57,197,chair_28,85,M
198,40,1,0,0,202,185,52,item_3,236,M
199,21,1,0,0,200,54,131,clothes_0,100,M
200,15,1,0,0,92,193,61,shelf_10,391,M
201,5,1,0,0,91,163,138,chair_29,85,M
202,16,1,0,0,153,98,156,curtain_10,129,M
203,40,1,0,0,178,127,135,laundry basket_0,265,M
204,38,0,0,0,120,185,128,doorframe_2,158,M
205,29,1,0,0,202,174,103,box_10,59,M
206,40,1,0,0,96,207,209,backpack_0,14,M
207,15,1,0,0,213,92,176,shelf_11,391,M
208,40,1,0,0,140,214,91,item_4,236,M
209,15,1,0,0,94,106,211,shelf_12,391,M
210,40,1,0,0,205,120,100,pan_0,310,M
211,40,1,0,0,108,197,151,backpack_1,14,M
212,35,1,0,0,173,116,189,lamp_4,263,M
213,40,1,0,0,177,181,124,plant_2,342,M
214,22,0,0,0,130,158,175,ceiling_3,82,M
215,15,1,0,0,137,91,107,shelf_13,391,M
216,15,1,0,0,92,139,90,shelf_14,391,M
217,2,0,0,0,174,199,232,floor_9,188,M
218,1,0,0,0,31,119,180,wall_29,503,M
219,1,0,0,0,255,187,120,wall_30,503,M
220,1,0,0,0,255,127,14,wall_31,503,M
221,1,0,0,0,152,223,138,wall_32,503,M
222,1,0,0,0,44,160,44,wall_33,503,M
223,1,0,0,0,255,152,150,wall_34,503,M
224,7,1,0,0,214,39,40,table_8,455,M
225,5,1,0,0,197,176,213,chair_30,85,M
226,5,1,0,0,148,103,189,chair_31,85,M
227,5,1,0,0,196,156,148,chair_32,85,M
228,5,1,0,0,140,86,75,chair_33,85,M
229,5,1,0,0,247,182,210,chair_34,85,M
230,39,1,0,0,227,119,194,bench_4,40,M
231,40,1,0,0,219,219,141,plant_3,342,M
232,40,1,0,0,188,189,34,plant_4,342,M
233,16,1,0,0,158,218,229,curtain_11,129,M
234,9,0,0,0,178,76,76,window_1,520,M
235,5,1,0,0,66,188,102,chair_35,85,M
236,5,1,0,0,140,57,197,chair_36,85,M
237,21,1,0,0,200,54,131,clothes_1,100,M
238,14,1,0,0,92,193,61,desk_0,138,M
239,5,1,0,0,91,163,138,chair_37,85,M
240,16,1,0,0,153,98,156,curtain_12,129,M
241,21,1,0,0,100,125,154,clothes_2,100,M
242,40,1,0,0,178,127,135,laundry basket_1,265,M
243,38,0,0,0,120,185,128,doorframe_3,158,M
244,15,1,0,0,213,92,176,shelf_15,391,M
245,40,1,0,0,140,214,91,item_5,236,M
246,15,1,0,0,94,106,211,shelf_16,391,M
247,40,1,0,0,205,120,100,stool_0,442,M
248,35,1,0,0,173,116,189,lamp_5,263,M
249,40,1,0,0,177,181,124,plant_5,342,M
250,22,0,0,0,130,158,175,ceiling_4,82,M
251,15,1,0,0,100,85,144,shelf_17,391,M
252,40,1,0,0,152,118,77,drying rack_0,170,M
